team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense
2900,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,1,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,1,3,3,2,3,5,0,0
2186,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0
5841,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
1727,1,1,2,2,0,1,0,0,5,0,0,0,0,0,0,0,0,1,2,2,2,8,0,0
1885,1,0,1,1,0,1,1,0,1,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0
4456,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,10,4,1
2912,2,1,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,2,2,3,0,0
5243,2,1,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
1123,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,37,0,0
2537,2,0,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
7770,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
6239,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4821,3,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2,1,1,2,1,0,4,0
1111,3,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
4472,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0
5115,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0
5945,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0
1915,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4949,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6326,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2849,4,0,1,2,0,1,0,0,4,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0
4514,4,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
3793,4,1,2,1,0,1,0,0,2,0,0,0,2,0,0,0,1,0,3,2,3,20,0,0
3650,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3650,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0
1389,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0
5830,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,20,0,1
449,5,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,3,1,1,0,0,0
3389,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
5587,5,0,2,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,2,1,0,0,0
1446,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
7714,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4464,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0
6213,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2914,6,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
6893,6,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
5945,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
4821,7,0,1,1,0,1,0,0,3,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0
2186,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0
4514,7,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
5841,7,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
1727,7,0,2,2,0,1,0,0,2,0,0,0,0,1,0,0,0,2,2,2,2,13,0,0
4949,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4472,8,0,1,1,0,1,0,0,2,1,0,0,0,2,1,0,1,1,1,2,1,0,0,0
5115,8,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,2,1,0,0,0
1389,8,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0
5243,8,0,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,2,1,2,1,0,0,0
7714,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3389,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6213,9,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0
3793,9,0,2,1,0,1,0,0,1,1,0,0,0,2,0,0,0,1,2,1,1,0,0,0
2849,9,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
1885,10,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,2,1,0,0,0
3650,10,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1
2912,10,0,2,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,2,2,2,5,0,0
2537,10,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1446,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1
1915,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1111,11,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
5830,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0
1123,11,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,25,0,0
6893,11,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0
2914,12,1,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
2900,12,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
6326,12,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4456,12,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0
5587,12,0,2,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0
4464,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5115,13,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
4514,13,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
5841,13,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0
449,13,0,1,1,0,1,0,0,3,0,0,0,1,0,0,0,0,1,3,1,0,0,4,0
6213,13,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
686,13,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0
3793,14,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3,29,4,1
1727,14,1,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0
1389,14,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0
1111,14,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0
1885,14,1,1,1,0,1,0,0,3,0,0,0,1,1,0,0,1,2,1,2,1,0,0,0
7770,14,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0
7714,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
5945,15,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
2900,15,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,20,0,0
6239,15,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1
5587,15,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,1,1,0,0,1
5243,15,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3650,16,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,4,0
4949,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4456,16,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
2186,16,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1915,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
2537,16,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
4821,17,1,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0
1727,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4472,18,1,1,0,0,1,0,0,4,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0
2914,18,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
2914,18,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2912,18,0,2,1,0,1,1,0,2,0,0,0,1,0,0,0,1,3,2,2,2,8,0,0
6893,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
6326,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
4514,19,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
1727,19,0,2,2,0,1,0,0,4,0,0,0,0,0,0,0,0,2,2,2,2,10,0,0
2537,19,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0
5945,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6213,19,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0
3650,19,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0
5830,20,1,2,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,2,2,2,21,0,0
5587,20,1,2,1,0,1,0,0,5,0,0,0,3,0,0,0,0,1,1,2,1,0,0,0
5115,20,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,2,1,0,0,0
7770,20,0,2,1,0,1,1,0,3,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0
4456,20,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,3,1,0,0,0,0
4821,21,1,1,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
2912,21,1,2,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,2,2,3,0,0
6893,21,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
4949,21,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
5243,21,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,0
2900,21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1123,22,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,26,0,1
2849,22,1,1,2,0,1,0,0,5,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
1885,22,1,1,1,0,1,1,0,2,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0
6326,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
7714,22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
686,22,0,1,1,0,1,1,0,3,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0
4464,23,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
3793,23,1,2,1,0,1,0,0,4,0,0,0,1,0,0,0,0,2,3,2,3,12,0,0
4472,23,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0
1389,23,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
1446,23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
449,23,0,1,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,3,2,3,5,0,0
2914,24,1,1,2,0,1,1,0,3,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
1111,24,0,1,2,0,1,0,0,4,0,0,0,0,0,0,0,0,6,1,2,1,0,0,1
6239,24,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,2,2,2,3,0,0
3389,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
6239,24,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,2,2,2,5,0,0
5841,24,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,2,1,0,0,1
5945,25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
4514,25,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
5115,25,0,1,1,0,1,0,0,3,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0
1885,25,1,1,1,0,1,0,0,3,0,0,0,1,2,0,0,0,2,1,2,1,0,0,0
5830,25,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,9,0,0
7714,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
686,26,1,1,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0
7770,26,0,2,1,0,1,0,0,3,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0
2537,26,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
3793,26,0,2,1,0,1,1,1,3,0,1,0,0,2,0,0,0,0,3,2,3,12,0,0
4821,26,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3,1,2,1,0,0,0
4472,26,1,1,0,0,1,0,0,0,1,0,0,0,1,2,0,0,2,1,2,1,0,0,0
2186,27,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0
6893,27,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0
5587,27,0,2,1,0,1,0,0,3,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0
4949,27,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2914,27,0,1,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
1389,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1727,28,0,2,2,0,1,0,0,6,0,0,0,0,0,0,0,0,2,2,2,2,20,0,0
449,28,1,1,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0
2912,28,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,1,1,0,0,0
4464,28,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
6239,28,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,1,1,0,4,0
1123,28,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,23,0,0
1915,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2900,29,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5841,29,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0
3389,29,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
3650,29,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,1,0,4,0
2849,29,1,1,2,0,1,1,0,4,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
4456,30,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,3,2,3,15,0,0
6213,30,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,0
1111,30,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0
1446,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
6326,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
5243,30,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
5945,31,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
4464,31,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
686,31,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0
1389,31,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
5587,31,0,2,1,0,1,0,0,3,0,0,0,2,0,0,0,0,0,1,1,0,0,4,0
1885,31,1,1,1,0,1,1,0,7,0,0,0,2,0,0,0,0,1,3,1,1,0,0,0
6239,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1915,32,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1
3793,32,0,2,1,0,1,0,0,3,0,0,0,1,0,0,0,1,0,3,1,1,0,4,0
2537,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1
2912,32,1,2,1,0,1,0,0,2,0,0,0,2,0,0,0,0,1,2,2,2,7,0,0
2914,32,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0
6893,33,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
5115,33,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
5841,33,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
1111,33,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,4,0
7714,33,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
449,33,0,1,1,0,1,0,0,1,0,0,0,2,1,0,0,1,0,1,2,1,0,0,0
6893,34,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
5830,34,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,6,0,0
2849,34,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1727,34,0,2,2,0,1,0,0,7,0,0,0,0,0,0,0,0,0,2,2,2,7,4,0
6213,34,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0
4949,34,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0
5243,34,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
3650,35,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0
1123,35,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,35,0,0
7770,35,1,2,1,0,1,0,0,4,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0
4949,35,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
1446,35,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1
2900,35,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0
4472,35,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0
4456,36,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,3,2,3,11,0,0
4514,36,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
3389,36,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
2186,36,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4821,36,1,1,1,0,1,0,0,3,0,0,0,1,0,0,0,0,2,1,2,1,0,0,0
6326,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0
5830,37,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1
7714,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
449,37,1,1,1,0,1,0,0,1,0,0,0,2,3,0,0,0,0,3,1,1,0,0,0
5243,37,1,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,1,2,1,0,0,0
2914,37,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
1885,37,0,1,1,0,1,1,0,4,2,0,0,1,3,0,0,0,0,1,2,1,0,0,0
1123,38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,30,0,0
4949,38,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
5587,38,1,2,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0
5243,38,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,4,1,2,1,0,0,0
3793,38,0,2,1,0,1,0,0,4,0,0,0,0,0,0,0,1,1,3,2,3,8,4,0
5841,38,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,13,1,1
5841,38,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,13,1,0
3650,39,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0
1727,39,1,2,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,7,0,0
4456,39,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0
6239,39,0,2,1,0,1,0,0,0,0,0,0,1,2,0,0,3,0,2,1,1,0,4,0
6893,39,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
686,39,1,1,1,0,1,0,0,2,0,0,0,1,0,0,0,3,0,3,2,3,10,0,0
6893,39,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
6893,40,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
1446,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3389,40,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
2849,40,1,2,2,0,1,0,0,4,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0
5945,40,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6326,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
4472,41,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0
4464,41,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
4514,41,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0
1111,41,1,1,2,0,1,0,0,4,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0
2900,41,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2537,41,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
4821,42,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0
6213,42,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
1389,42,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2912,42,1,2,1,0,1,1,0,0,0,0,0,2,0,0,0,0,2,2,2,2,3,0,0
2186,42,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,2,1,2,1,0,0,0
7770,42,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0
1123,43,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,28,0,0
7714,43,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
1915,43,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
449,43,1,1,1,0,1,0,0,2,0,0,0,1,0,0,0,1,1,2,2,2,14,0,0
1727,43,0,2,2,0,1,0,0,6,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0
